,eventVersion,hour,day_of_week,month,week,is_weekend,is_business_hours,geo_lat,geo_lon,asn_risk_score,resource_sensitivity,iso_forest_score,iso_forest_anomaly,lof_score,lof_anomaly,ensemble_score,is_anomaly,hour_sin,hour_cos,dow_sin
eventVersion,1.0,,,0.10325848827972396,0.10325848827972382,,,-0.008445433862627328,0.00011998064085741583,-0.004727998631363699,0.0038118011901496747,0.005762589814696609,-0.005762589814696573,,,-0.005762589814696573,-0.005762589814696573,,,
hour,,,,,,,,,,,,,,,,,,,,
day_of_week,,,,,,,,,,,,,,,,,,,,
month,0.10325848827972396,,,1.0,0.9999999999999998,,,-0.029182877870777106,-0.0013040890188501587,0.0042000911969840805,-0.012270753327249443,0.01200247659477622,-0.012002476594772082,,,-0.012002476594772082,-0.012002476594772082,,,
week,0.10325848827972382,,,0.9999999999999998,1.0,,,-0.029182877870777064,-0.0013040890188501407,0.0042000911969840874,-0.012270753327249504,0.012002476594776205,-0.012002476594772082,,,-0.012002476594772082,-0.012002476594772082,,,
is_weekend,,,,,,,,,,,,,,,,,,,,
is_business_hours,,,,,,,,,,,,,,,,,,,,
geo_lat,-0.008445433862627328,,,-0.029182877870777106,-0.029182877870777064,,,1.0,0.012080834478385184,0.013036565787877862,0.011229085813442901,-0.011537241449594213,0.011537241449594154,,,0.011537241449594154,0.011537241449594154,,,
geo_lon,0.00011998064085741583,,,-0.0013040890188501587,-0.0013040890188501407,,,0.012080834478385184,1.0,0.0025868911210048862,-0.005156100379009439,0.004179908721659716,-0.004179908721659684,,,-0.004179908721659684,-0.004179908721659684,,,
asn_risk_score,-0.004727998631363699,,,0.0042000911969840805,0.0042000911969840874,,,0.013036565787877862,0.0025868911210048862,1.0,-0.0036898601933335108,-0.2683943340873359,0.26839433408733604,,,0.26839433408733604,0.26839433408733604,,,
resource_sensitivity,0.0038118011901496747,,,-0.012270753327249443,-0.012270753327249504,,,0.011229085813442901,-0.005156100379009439,-0.0036898601933335108,1.0,-0.0013560021259646125,0.0013560021259646123,,,0.0013560021259646123,0.0013560021259646123,,,
iso_forest_score,0.005762589814696609,,,0.01200247659477622,0.012002476594776205,,,-0.011537241449594213,0.004179908721659716,-0.2683943340873359,-0.0013560021259646125,1.0,-1.0,,,-1.0,-1.0,,,
iso_forest_anomaly,-0.005762589814696573,,,-0.012002476594772082,-0.012002476594772082,,,0.011537241449594154,-0.004179908721659684,0.26839433408733604,0.0013560021259646123,-1.0,1.0,,,1.0,1.0,,,
lof_score,,,,,,,,,,,,,,,,,,,,
lof_anomaly,,,,,,,,,,,,,,,,,,,,
ensemble_score,-0.005762589814696573,,,-0.012002476594772082,-0.012002476594772082,,,0.011537241449594154,-0.004179908721659684,0.26839433408733604,0.0013560021259646123,-1.0,1.0,,,1.0,1.0,,,
is_anomaly,-0.005762589814696573,,,-0.012002476594772082,-0.012002476594772082,,,0.011537241449594154,-0.004179908721659684,0.26839433408733604,0.0013560021259646123,-1.0,1.0,,,1.0,1.0,,,
hour_sin,,,,,,,,,,,,,,,,,,,,
hour_cos,,,,,,,,,,,,,,,,,,,,
dow_sin,,,,,,,,,,,,,,,,,,,,
